# mean, investigation_time=50.0
lon,lat,PGA-0.1
140.78993,-0.08993,1.295415E-01
140.78993,-0.17986,1.422144E-01
140.78993,-0.26980,1.486889E-01
140.78993,-0.35973,1.517958E-01
140.78993,-0.44966,1.534156E-01
140.78994,-0.53959,1.546026E-01
140.78994,-0.62953,1.560861E-01
140.78994,-0.71946,1.584529E-01
140.78994,-0.80939,1.623377E-01
140.78994,-0.89932,1.686481E-01
140.78995,-0.98925,1.782249E-01
140.78995,-1.07919,1.919674E-01
140.78995,-1.16912,2.094139E-01
140.78995,-1.25905,2.284715E-01
140.78996,-1.34898,2.505287E-01
140.78996,-1.43891,2.758508E-01
140.78996,-1.52885,3.007024E-01
140.78997,-1.61878,3.262180E-01
140.78997,-1.70871,3.540916E-01
140.78998,-1.79864,3.856181E-01
140.78998,-1.88858,4.177312E-01
140.78999,-1.97851,4.534600E-01
140.78999,-2.06844,4.945801E-01
140.79000,-2.15837,5.416015E-01
140.79000,-2.24830,5.993531E-01
140.79001,-2.33824,6.850688E-01
140.79001,-2.42817,7.457939E-01
140.79002,-2.51810,7.853265E-01
140.79003,-2.60803,7.912797E-01
140.79003,-2.69796,8.106698E-01
140.79004,-2.78790,8.184704E-01
140.79005,-2.87783,8.324606E-01
140.79005,-2.96776,8.358197E-01
140.79006,-3.05769,8.400197E-01
140.79007,-3.14763,8.372276E-01
140.79008,-3.23756,8.189033E-01
140.79008,-3.32749,7.899931E-01
140.79009,-3.41742,7.795574E-01
140.79010,-3.50735,7.634215E-01
140.79011,-3.59729,7.584586E-01
140.79012,-3.68722,7.568853E-01
140.79013,-3.77715,7.445689E-01
140.79014,-3.86708,7.227989E-01
140.79015,-3.95702,6.912464E-01
140.79016,-4.04695,6.768428E-01
140.79017,-4.13688,6.566518E-01
140.79018,-4.22681,6.411520E-01
140.79019,-4.31674,6.259920E-01
140.79020,-4.40668,6.068640E-01
140.79021,-4.49661,5.892671E-01
140.79022,-4.58654,5.732908E-01
140.79023,-4.67647,5.613072E-01
140.79024,-4.76640,5.559154E-01
140.79026,-4.85634,5.630599E-01
140.79027,-4.94627,5.610736E-01
140.79028,-5.03620,5.475973E-01
140.79029,-5.12613,5.333376E-01
140.79031,-5.21607,5.182562E-01
140.79032,-5.30600,5.033234E-01
140.79033,-5.39593,4.803237E-01
140.79035,-5.48586,4.412870E-01
140.79036,-5.57579,4.086779E-01
140.79037,-5.66573,3.769735E-01
140.79039,-5.75566,3.466435E-01
140.79040,-5.84559,3.197446E-01
140.79042,-5.93552,2.949213E-01
140.79043,-6.02545,2.689438E-01
140.79045,-6.11539,2.434470E-01
140.79046,-6.20532,2.204414E-01
140.79048,-6.29525,1.991572E-01
140.79049,-6.38518,1.789463E-01
140.79051,-6.47512,1.618960E-01
140.79053,-6.56505,1.473615E-01
140.79054,-6.65498,1.346170E-01
140.79056,-6.74491,1.238735E-01
140.79058,-6.83484,1.146621E-01
140.79059,-6.92478,1.065421E-01
140.79061,-7.01471,9.919815E-02
140.79063,-7.10464,9.261473E-02
140.79065,-7.19457,8.665092E-02
140.79066,-7.28451,8.124597E-02
140.79068,-7.37444,7.635566E-02
140.79070,-7.46437,7.199588E-02
140.79072,-7.55430,6.808484E-02
140.79074,-7.64423,6.468701E-02
140.79076,-7.73417,6.178173E-02
140.79078,-7.82410,5.928937E-02
140.79080,-7.91403,5.718492E-02
140.79082,-8.00396,5.547696E-02
140.79084,-8.09389,5.408220E-02
140.79086,-8.18383,5.294305E-02
140.79088,-8.27376,5.198946E-02
140.79090,-8.36369,5.119391E-02
140.79092,-8.45362,5.053188E-02
140.79094,-8.54356,4.996256E-02
140.79096,-8.63349,4.943411E-02
140.79098,-8.72342,4.890849E-02
140.79101,-8.81335,4.834056E-02
140.79103,-8.90328,4.766402E-02
140.79105,-8.99322,4.678666E-02
140.79107,-9.08315,4.560154E-02
140.79110,-9.17308,4.397112E-02
140.79112,-9.26301,4.175339E-02
140.79114,-9.35294,3.888120E-02
140.79117,-9.44288,3.548748E-02
140.79119,-9.53281,3.202915E-02
140.79122,-9.62274,2.887939E-02
140.79124,-9.71267,2.610105E-02
140.79126,-9.80261,2.358099E-02
140.79129,-9.89254,2.148710E-02
140.79131,-9.98247,1.972084E-02
140.79134,-10.07240,1.799817E-02
140.79137,-10.16233,1.641203E-02
140.79139,-10.25227,1.498509E-02
140.79142,-10.34220,1.367745E-02
140.79144,-10.43213,1.220555E-02
140.79147,-10.52206,1.088553E-02
140.79150,-10.61199,9.657140E-03
140.79152,-10.70193,8.338608E-03
140.79155,-10.79186,7.219600E-03
140.79158,-10.88179,6.119125E-03
140.79161,-10.97172,5.264126E-03
140.79163,-11.06166,0.000000E+00
140.79166,-11.15159,0.000000E+00
140.79169,-11.24152,0.000000E+00
140.79172,-11.33145,0.000000E+00
140.79175,-11.42138,0.000000E+00
140.79178,-11.51132,0.000000E+00
140.79181,-11.60125,0.000000E+00
140.79184,-11.69118,5.222114E-03
140.79187,-11.78111,5.630264E-03
140.79190,-11.87105,6.015746E-03
140.79193,-11.96098,6.355180E-03
140.87986,-0.08993,1.314517E-01
140.87987,-0.17986,1.447366E-01
140.87987,-0.26980,1.509018E-01
140.87987,-0.35973,1.537975E-01
140.87987,-0.44966,1.547655E-01
140.87987,-0.53959,1.552346E-01
140.87988,-0.62953,1.560728E-01
140.87988,-0.71946,1.578557E-01
140.87988,-0.80939,1.612117E-01
140.87989,-0.89932,1.668446E-01
140.87989,-0.98925,1.756501E-01
140.87990,-1.07919,1.885749E-01
140.87990,-1.16912,2.060020E-01
140.87991,-1.25905,2.247076E-01
140.87991,-1.34898,2.460297E-01
140.87992,-1.43891,2.703314E-01
140.87993,-1.52885,2.954460E-01
140.87994,-1.61878,3.202125E-01
140.87994,-1.70871,3.474085E-01
140.87995,-1.79864,3.777545E-01
140.87996,-1.88858,4.099898E-01
140.87997,-1.97851,4.439963E-01
140.87998,-2.06844,4.850149E-01
140.87999,-2.15837,5.279870E-01
140.88000,-2.24830,5.769147E-01
140.88001,-2.33824,6.391448E-01
140.88003,-2.42817,7.176597E-01
140.88004,-2.51810,7.735282E-01
140.88005,-2.60803,7.885897E-01
140.88006,-2.69796,8.016256E-01
140.88008,-2.78790,8.210851E-01
140.88009,-2.87783,8.227695E-01
140.88011,-2.96776,8.343502E-01
140.88012,-3.05769,8.406647E-01
140.88014,-3.14763,8.344640E-01
140.88015,-3.23756,8.201826E-01
140.88017,-3.32749,7.944664E-01
140.88018,-3.41742,7.769460E-01
140.88020,-3.50735,7.633977E-01
140.88022,-3.59729,7.540527E-01
140.88024,-3.68722,7.522482E-01
140.88026,-3.77715,7.388612E-01
140.88027,-3.86708,7.200612E-01
140.88029,-3.95702,6.919680E-01
140.88031,-4.04695,6.775085E-01
140.88033,-4.13688,6.548591E-01
140.88035,-4.22681,6.414740E-01
140.88038,-4.31674,6.212052E-01
140.88040,-4.40668,6.061882E-01
140.88042,-4.49661,5.900507E-01
140.88044,-4.58654,5.741416E-01
140.88047,-4.67647,5.590286E-01
140.88049,-4.76640,5.544135E-01
140.88051,-4.85634,5.591971E-01
140.88054,-4.94627,5.615393E-01
140.88056,-5.03620,5.507739E-01
140.88059,-5.12613,5.398078E-01
140.88061,-5.21607,5.208669E-01
140.88064,-5.30600,5.088158E-01
140.88066,-5.39593,4.903047E-01
140.88069,-5.48586,4.590170E-01
140.88072,-5.57579,4.225159E-01
140.88075,-5.66573,3.929498E-01
140.88078,-5.75566,3.590715E-01
140.88080,-5.84559,3.291484E-01
140.88083,-5.93552,3.029520E-01
140.88086,-6.02545,2.776759E-01
140.88089,-6.11539,2.514739E-01
140.88092,-6.20532,2.279730E-01
140.88096,-6.29525,2.067558E-01
140.88099,-6.38518,1.861988E-01
